Label,Older,Younger
"Preference for inaction
 [Interventionism]",0.0028021270562331,-0.0442250664508904
"Sparing females
 [Gender]",0.177428371213607,0.261432092651559
"Sparing higher status
 [Social Status]",0.0756131585863754,-0.0083489159117801
"Sparing humans
 [Species]",0.391863845356279,0.459414205446038
"Sparing more characters
 [No. Characters]",0.203342666656846,0.174493336323971
"Sparing pedestrians
 [Relation to AV]",0.0606699066386259,-0.0008624839393648
"Sparing the fit
 [Fitness]",-0.174753375910619,-0.168094248013486
"Sparing the lawful
[Law]",0.107709469509172,0.149522273234893
"Sparing the younger
 [Age]",0.0518701692682272,0.175907986089495
